Time,Value
2024-11-26 03:12:00,24.356651306152344 °C
2024-11-26 03:13:00,24.25556182861328 °C
2024-11-26 03:14:00,24.288368225097656 °C
2024-11-26 03:15:00,24.229812622070312 °C
2024-11-26 03:16:00,24.195098876953125 °C
2024-11-26 03:17:00,24.117469787597656 °C
2024-11-26 03:18:00,24.08123016357422 °C
2024-11-26 03:19:00,24.1607666015625 °C
2024-11-26 03:20:00,24.25689697265625 °C
2024-11-26 03:21:00,24.25689697265625 °C
2024-11-26 03:22:00,24.262237548828125 °C
2024-11-26 03:23:00,24.284744262695312 °C
2024-11-26 03:24:00,24.261093139648438 °C
2024-11-26 03:25:00,24.28302764892578 °C
2024-11-26 03:26:00,24.161338806152344 °C
2024-11-26 03:27:00,24.061203002929688 °C
2024-11-26 03:28:00,24.100112915039062 °C
2024-11-26 03:29:00,24.19147491455078 °C
2024-11-26 03:30:00,24.213027954101562 °C
2024-11-26 03:31:00,24.156761169433594 °C
2024-11-26 03:32:00,24.07073974609375 °C
2024-11-26 03:33:00,24.05071258544922 °C
2024-11-26 03:34:00,24.019622802734375 °C
2024-11-26 03:35:00,24.04327392578125 °C
2024-11-26 03:36:00,24.10144805908203 °C
2024-11-26 03:37:00,24.156761169433594 °C
2024-11-26 03:38:00,24.168968200683594 °C
2024-11-26 03:39:00,24.20787811279297 °C
2024-11-26 03:40:00,24.26280975341797 °C
2024-11-26 03:41:00,24.259567260742188 °C
2024-11-26 03:42:00,24.224853515625 °C
2024-11-26 03:43:00,24.261856079101562 °C
2024-11-26 03:44:00,24.263763427734375 °C
2024-11-26 03:45:00,24.316787719726562 °C
2024-11-26 03:46:00,24.324989318847656 °C
2024-11-26 03:47:00,24.297523498535156 °C
2024-11-26 03:48:00,24.27845001220703 °C
2024-11-26 03:49:00,24.263381958007812 °C
2024-11-26 03:50:00,24.297142028808594 °C
2024-11-26 03:51:00,24.273300170898438 °C
2024-11-26 03:52:00,24.305343627929688 °C
2024-11-26 03:53:00,24.267005920410156 °C
2024-11-26 03:54:00,24.257278442382812 °C
2024-11-26 03:55:00,24.226760864257812 °C
2024-11-26 03:56:00,24.23725128173828 °C
2024-11-26 03:57:00,24.2218017578125 °C
2024-11-26 03:58:00,24.26471710205078 °C
2024-11-26 03:59:00,24.29523468017578 °C
2024-11-26 04:00:00,24.31640625 °C
2024-11-26 04:01:00,24.335861206054688 °C
2024-11-26 04:02:00,24.347496032714844 °C
2024-11-26 04:03:00,24.333763122558594 °C
2024-11-26 04:04:00,24.393081665039062 °C
2024-11-26 04:05:00,24.393081665039062 °C
2024-11-26 04:06:00,24.336814880371094 °C
2024-11-26 04:07:00,24.320411682128906 °C
2024-11-26 04:08:00,24.364852905273438 °C
2024-11-26 04:09:00,24.326324462890625 °C
2024-11-26 04:10:00,24.29332733154297 °C
