Time,Temperature
2024-11-29 15:57:00,5.77 °C
2024-11-29 16:12:00,5.77 °C
2024-11-29 16:27:00,5.21 °C
2024-11-29 16:42:00,5.2 °C
2024-11-29 16:57:00,4.64 °C
2024-11-29 17:12:00,4.64 °C
2024-11-29 17:28:00,4.68 °C
2024-11-29 17:43:00,4.38 °C
2024-11-29 17:58:00,4.13 °C
2024-11-29 18:13:00,4.13 °C
2024-11-29 18:28:00,3.53 °C
2024-11-29 18:43:00,3.57 °C
2024-11-29 18:59:00,3.27 °C
2024-11-29 19:14:00,3.02 °C
2024-11-29 19:29:00,3.02 °C
2024-11-29 19:44:00,3.02 °C
2024-11-29 19:59:00,3.02 °C
2024-11-29 20:14:00,3.02 °C
2024-11-29 20:30:00,2.71 °C
2024-11-29 20:45:00,2.67 °C
2024-11-29 21:00:00,2.51 °C
2024-11-29 21:15:00,2.46 °C
2024-11-29 21:30:00,2.46 °C
2024-11-29 21:45:00,1.92 °C
2024-11-29 22:01:00,1.61 °C
2024-11-29 22:16:00,1.61 °C
2024-11-29 22:31:00,1.61 °C
2024-11-29 22:46:00,1.3 °C
2024-11-29 23:01:00,1.31 °C
2024-11-29 23:16:00,1.4 °C
2024-11-29 23:31:00,1.35 °C
2024-11-29 23:32:00,1.35 °C
2024-11-29 23:47:00,1.35 °C
2024-11-30 00:02:00,1.05 °C
2024-11-30 00:17:00,1.05 °C
2024-11-30 00:32:00,1 °C
2024-11-30 00:47:00,1.05 °C
2024-11-30 01:02:00,1.05 °C
2024-11-30 01:18:00,0.31 °C
2024-11-30 01:33:00,0.39 °C
2024-11-30 01:48:00,0.54 °C
2024-11-30 02:03:00,0.49 °C
2024-11-30 02:18:00,0.45 °C
2024-11-30 02:34:00,0.49 °C
2024-11-30 02:49:00,0.75 °C
2024-11-30 03:04:00,0.82 °C
2024-11-30 03:19:00,0.83 °C
2024-11-30 03:34:00,0.44 °C
2024-11-30 03:49:00,0.54 °C
2024-11-30 04:04:00,0.55 °C
2024-11-30 04:05:00,0.55 °C
2024-11-30 04:20:00,-0.1 °C
2024-11-30 04:35:00,-0.02 °C
2024-11-30 04:50:00,-0.07 °C
2024-11-30 05:05:00,0.02 °C
2024-11-30 05:20:00,0.46 °C
2024-11-30 05:35:00,-0.01 °C
2024-11-30 05:51:00,-0.01 °C
2024-11-30 06:06:00,0.37 °C
2024-11-30 06:21:00,0.09 °C
2024-11-30 06:36:00,0.02 °C
2024-11-30 06:51:00,0.02 °C
2024-11-30 07:06:00,0.02 °C
2024-11-30 07:22:00,-0.16 °C
2024-11-30 07:37:00,-0.53 °C
2024-11-30 07:52:00,-0.12 °C
2024-11-30 08:07:00,-0.23 °C
2024-11-30 08:22:00,0.32 °C
2024-11-30 08:37:00,1.32 °C
2024-11-30 08:53:00,1.22 °C
2024-11-30 09:08:00,2.43 °C
2024-11-30 09:23:00,2.98 °C
2024-11-30 09:38:00,3.21 °C
2024-11-30 09:53:00,4.1 °C
2024-11-30 10:08:00,4.32 °C
2024-11-30 10:24:00,5.54 °C
2024-11-30 10:39:00,5.69 °C
2024-11-30 10:54:00,5.81 °C
2024-11-30 11:09:00,6.12 °C
2024-11-30 11:24:00,6.33 °C
2024-11-30 11:39:00,6.37 °C
2024-11-30 11:54:00,6.37 °C
2024-11-30 12:10:00,6.97 °C
2024-11-30 12:25:00,6.97 °C
2024-11-30 12:40:00,7.44 °C
2024-11-30 12:55:00,8.05 °C
2024-11-30 13:10:00,7.79 °C
2024-11-30 13:25:00,8.14 °C
2024-11-30 13:41:00,8.19 °C
2024-11-30 13:56:00,9.18 °C
2024-11-30 14:11:00,9.18 °C
2024-11-30 14:26:00,8.19 °C
2024-11-30 14:41:00,7.64 °C
2024-11-30 14:56:00,7.47 °C
2024-11-30 15:12:00,7.24 °C
2024-11-30 15:27:00,6.88 °C
2024-11-30 15:42:00,6.33 °C
2024-11-30 15:57:00,6.07 °C
