Time,Temperature_inside,Temperature_outside
2024-11-26 01:59:00,24.32727813720703,11.198
2024-11-26 02:00:00,24.34864044189453,11.193999999999999
2024-11-26 02:01:00,24.266815185546875,11.19
2024-11-26 02:02:00,24.3377685546875,11.181333333333333
2024-11-26 02:03:00,24.343299865722656,11.172666666666666
2024-11-26 02:04:00,24.382591247558597,11.164
2024-11-26 02:05:00,24.34825897216797,11.155333333333333
2024-11-26 02:06:00,24.286460876464844,11.146666666666667
2024-11-26 02:07:00,24.23858642578125,11.138
2024-11-26 02:08:00,24.248123168945312,11.129333333333333
2024-11-26 02:09:00,24.184226989746094,11.120666666666667
2024-11-26 02:10:00,24.19605255126953,11.112
2024-11-26 02:11:00,24.129295349121094,11.103333333333333
2024-11-26 02:12:00,24.14531707763672,11.094666666666667
